ID;Hipótesis;TP;FP;FN
CXR2806   ;NN;1;0;0
CXR2806   ;DN;1;0;0
CXR2806   ;ND;1;0;0
CXR2806   ;DD;0;1;1
CXR462   ;NN;2;0;0
CXR462   ;DN;0;1;2
CXR462   ;ND;2;0;0
CXR462   ;DD;1;1;1
CXR3906   ;NN;1;0;0
CXR3906   ;DN;1;0;0
CXR3906   ;ND;0;7;1
CXR3906   ;DD;0;5;1
CXR2982;NN;0;1;1
CXR2982;DN;0;1;1
CXR2982;ND;0;1;1
CXR2982;DD;0;2;1
CXR1235;NN;0;1;1
CXR1235;DN;0;2;1
CXR1235;ND;0;1;1
CXR1235;DD;0;1;1
CXR3391;NN;1;5;0
CXR3391;DN;2;18;0
CXR3391;ND;0;1;1
CXR3391;DD;1;9;0
CXR2091;NN;1;0;0
CXR2091;DN;1;0;0
CXR2091;ND;1;0;0
CXR2091;DD;1;1;0
CXR3993;NN;0;1;1
CXR3993;DN;0;1;1
CXR3993;ND;0;1;1
CXR3993;DD;0;1;1
CXR470;NN;0;3;1
CXR470;DN;1;0;0
CXR470;ND;1;0;0
CXR470;DD;1;0;0
CXR3455;NN;0;2;3
CXR3455;DN;0;2;3
CXR3455;ND;0;3;3
CXR3455;DD;0;1;3
CXR3995;NN;0;1;3
CXR3995;DN;1;2;2
CXR3995;ND;1;0;2
CXR3995;DD;1;0;2
CXR2007;NN;1;0;0
CXR2007;DN;1;0;0
CXR2007;ND;1;0;0
CXR2007;DD;1;0;0
CXR488;NN;1;0;0
CXR488;DN;0;3;1
CXR488;ND;1;0;0
CXR488;DD;0;1;1
CXR3534;NN;0;1;1
CXR3534;DN;0;1;1
CXR3534;ND;0;1;1
CXR3534;DD;0;2;1
CXR3673;NN;2;0;1
CXR3673;DN;3;2;0
CXR3673;ND;1;2;2
CXR3673;DD;3;1;0
CXR1153;NN;0;2;1
CXR1153;DN;0;18;1
CXR1153;ND;1;0;0
CXR1153;DD;0;2;1
CXR2923;NN;1;0;0
CXR2923;DN;1;0;0
CXR2923;ND;1;0;0
CXR2923;DD;1;0;0
CXR3910;NN;1;0;1
CXR3910;DN;1;1;1
CXR3910;ND;0;2;2
CXR3910;DD;1;0;1
CXR715;NN;0;1;3
CXR715;DN;1;1;2
CXR715;ND;0;1;3
CXR715;DD;2;0;1
CXR2985;NN;1;0;0
CXR2985;DN;1;1;0
CXR2985;ND;1;0;0
CXR2985;DD;0;1;1
CXR3878;NN;2;1;1
CXR3878;DN;1;1;2
CXR3878;ND;3;0;0
CXR3878;DD;1;0;2
CXR260;NN;0;1;1
CXR260;DN;0;1;1
CXR260;ND;0;1;1
CXR260;DD;0;1;1
CXR2103;NN;1;0;0
CXR2103;DN;0;2;1
CXR2103;ND;0;1;1
CXR2103;DD;0;2;1
CXR1551;NN;1;0;0
CXR1551;DN;1;0;0
CXR1551;ND;1;0;0
CXR1551;DD;1;0;0
CXR2934;NN;1;1;0
CXR2934;DN;1;1;0
CXR2934;ND;0;1;1
CXR2934;DD;1;0;0
CXR3130;NN;1;1;3
CXR3130;DN;2;1;2
CXR3130;ND;2;1;2
CXR3130;DD;2;3;2
CXR90 ;NN;2;0;0
CXR90 ;DN;0;1;1
CXR90 ;ND;1;0;0
CXR90 ;DD;1;3;0
CXR1678;NN;1;1;2
CXR1678;DN;1;0;2
CXR1678;ND;1;0;2
CXR1678;DD;1;3;2
CXR1098;NN;3;0;1
CXR1098;DN;1;2;3
CXR1098;ND;2;0;2
CXR1098;DD;1;1;3
CXR1941;NN;0;1;2
CXR1941;DN;0;3;2
CXR1941;ND;1;1;1
CXR1941;DD;1;1;1
CXR2661;NN;1;0;1
CXR2661;DN;1;0;1
CXR2661;ND;1;0;1
CXR2661;DD;1;0;1
CXR1786;NN;0;1;1
CXR1786;DN;0;2;1
CXR1786;ND;1;0;0
CXR1786;DD;1;0;0
CXR990;NN;1;0;0
CXR990;DN;1;0;0
CXR990;ND;0;2;1
CXR990;DD;0;1;1
CXR3648;NN;0;3;1
CXR3648;DN;0;1;1
CXR3648;ND;1;0;0
CXR3648;DD;1;0;0
CXR139;NN;3;1;4
CXR139;DN;2;1;5
CXR139;ND;3;2;4
CXR139;DD;1;1;6
CXR1118;NN;0;5;1
CXR1118;DN;0;1;1
CXR1118;ND;0;4;1
CXR1118;DD;1;0;0
CXR3797;NN;0;2;1
CXR3797;DN;0;1;1
CXR3797;ND;0;2;1
CXR3797;DD;0;3;1
CXR2443;NN;1;3;0
CXR2443;DN;1;0;0
CXR2443;ND;1;2;0
CXR2443;DD;0;13;1
CXR3100 ;NN;2;1;0
CXR3100 ;DN;2;10;0
CXR3100 ;ND;2;1;0
CXR3100 ;DD;0;5;2
CXR1543;NN;1;3;0
CXR1543;DN;0;1;1
CXR1543;ND;1;0;0
CXR1543;DD;1;0;0
CXR3740;NN;0;1;1
CXR3740;DN;0;1;1
CXR3740;ND;0;1;1
CXR3740;DD;0;1;1
CXR1634;NN;4;1;1
CXR1634;DN;5;1;0
CXR1634;ND;2;0;3
CXR1634;DD;4;0;1
CXR777;NN;2;0;0
CXR777;DN;0;1;2
CXR777;ND;1;0;1
CXR777;DD;1;1;1
CXR593;NN;3;1;1
CXR593;DN;3;1;1
CXR593;ND;3;1;1
CXR593;DD;3;1;1
CXR6;NN;1;0;0
CXR6;DN;0;2;1
CXR6;ND;0;1;1
CXR6;DD;0;1;1
CXR1788;NN;1;0;0
CXR1788;DN;1;0;0
CXR1788;ND;1;0;0
CXR1788;DD;1;0;0
CXR3148;NN;3;0;0
CXR3148;DN;2;0;1
CXR3148;ND;2;0;1
CXR3148;DD;2;0;1
CXR2960;NN;1;0;0
CXR2960;DN;0;1;1
CXR2960;ND;0;2;1
CXR2960;DD;1;0;0
CXR1042;NN;0;2;1
CXR1042;DN;1;0;0
CXR1042;ND;1;0;0
CXR1042;DD;1;0;0
CXR460;NN;1;0;0
CXR460;DN;0;1;1
CXR460;ND;0;1;1
CXR460;DD;0;6;1
